tiempo(s),Numero_joints,G-parcial(N)
8.594,7.000,688.288
8.605,7.000,688.171
8.616,7.000,688.023
8.627,7.000,687.899
8.638,7.000,687.848
8.649,7.000,687.757
8.660,7.000,687.602
8.671,7.000,687.435
8.682,7.000,687.269
8.693,7.000,687.122
8.704,7.000,686.980
8.715,7.000,686.838
8.726,7.000,686.695
8.737,7.000,686.552
8.748,7.000,686.412
8.759,7.000,686.272
8.769,7.000,686.131
8.780,7.000,685.991
8.791,7.000,685.851
8.802,7.000,685.712
8.813,7.000,685.574
8.824,7.000,685.436
8.835,7.000,685.297
8.846,7.000,685.157
8.857,7.000,685.021
8.868,7.000,684.885
8.879,7.000,684.752
8.890,7.000,684.617
8.901,7.000,684.487
8.912,7.000,684.353
8.923,7.000,684.217
8.934,7.000,684.083
8.945,7.000,683.950
8.956,7.000,683.817
8.967,7.000,683.682
8.978,7.000,683.554
8.989,7.000,683.425
9.000,7.000,683.299
9.011,7.000,683.173
9.022,7.000,683.049
9.033,7.000,682.924
9.044,7.000,682.801
9.055,7.000,682.678
9.066,7.000,682.558
9.077,7.000,682.436
9.088,7.000,682.318
9.099,7.000,682.196
9.110,7.000,682.080
9.121,7.000,681.958
9.131,7.000,681.844
9.142,7.000,681.724
9.153,7.000,681.611
9.164,7.000,681.507
9.175,7.000,681.404
9.186,7.000,681.270
9.197,7.000,681.149
9.208,7.000,681.031
9.219,7.000,680.918
9.230,7.000,680.807
9.241,7.000,680.696
9.252,7.000,680.587
9.263,7.000,680.478
9.274,7.000,680.370
9.285,7.000,680.264
9.296,7.000,680.158
9.307,7.000,680.053
9.318,7.000,679.929
9.329,7.000,679.815
9.340,7.000,679.717
9.351,7.000,679.637
9.362,7.000,679.522
9.373,7.000,679.462
9.384,7.000,679.310
9.395,7.000,679.206
9.406,7.000,679.118
9.417,7.000,679.014
9.428,7.000,678.930
9.439,7.000,678.784
9.450,7.000,678.685
9.461,7.000,678.589
9.472,7.000,678.496
9.483,7.000,678.404
9.494,7.000,678.313
9.505,7.000,678.222
9.516,7.000,678.130
9.527,7.000,678.040
9.538,7.000,677.950
9.549,7.000,677.857
9.560,7.000,677.769
9.571,7.000,677.681
9.582,7.000,677.594
9.593,7.000,677.506
9.604,7.000,677.419
9.615,7.000,677.330
9.626,7.000,677.244
9.637,7.000,677.160
9.648,7.000,677.075
9.659,7.000,676.990
9.670,7.000,676.906
9.681,7.000,676.819
9.692,7.000,676.739
9.703,7.000,676.659
9.714,7.000,676.578
9.724,7.000,676.496
9.735,7.000,676.413
9.746,7.000,676.335
9.757,7.000,676.258
9.768,7.000,676.181
9.780,7.000,676.102
9.791,7.000,676.031
9.802,7.000,675.960
9.813,7.000,675.883
9.824,7.000,675.800
9.835,7.000,675.739
9.846,7.000,675.665
9.857,7.000,675.567
9.868,7.000,675.436
9.878,7.000,675.286
9.889,7.000,675.165
9.900,7.000,675.242
9.911,7.000,675.276
9.922,7.000,675.420
9.933,7.000,675.550
9.944,7.000,675.565
9.955,7.000,675.564
9.966,7.000,675.555
9.977,7.000,675.660
9.988,7.000,675.723
9.999,7.000,675.662
10.010,7.000,675.190
10.021,7.000,674.746
10.032,7.000,674.509
10.043,7.000,674.487
10.054,7.000,674.490
10.065,7.000,674.459
10.076,7.000,674.400
10.087,7.000,674.456
10.098,7.000,674.564
10.109,7.000,674.659
10.120,7.000,674.600
10.131,7.000,674.401
10.142,7.000,674.199
10.153,7.000,674.047
10.164,7.000,673.972
10.175,7.000,673.964
10.186,7.000,673.987
10.197,7.000,674.009
10.208,7.000,673.994
10.218,7.000,673.925
10.229,7.000,673.822
10.240,7.000,673.723
10.251,7.000,673.652
10.262,7.000,673.609
10.273,7.000,673.582
10.284,7.000,673.556
10.295,7.000,673.519
10.306,7.000,673.466
10.317,7.000,673.405
10.328,7.000,673.344
10.339,7.000,673.291
10.350,7.000,673.247
10.361,7.000,673.206
10.372,7.000,673.165
10.383,7.000,673.120
10.394,7.000,673.073
10.404,7.000,673.025
10.415,7.000,672.978
10.426,7.000,672.933
10.437,7.000,672.890
10.448,7.000,672.848
10.459,7.000,672.805
10.470,7.000,672.762
10.480,7.000,672.719
10.491,7.000,672.677
10.502,7.000,672.635
10.513,7.000,672.594
10.524,7.000,672.553
10.535,7.000,672.513
10.546,7.000,672.473
10.557,7.000,672.433
10.568,7.000,672.393
10.579,7.000,672.353
10.590,7.000,672.309
10.601,7.000,672.268
10.612,7.000,672.230
10.623,7.000,672.195
10.634,7.000,672.158
10.644,7.000,672.121
10.655,7.000,672.086
10.666,7.000,672.048
